Метод токенизации,Количество слов в словаре,Минимальная частота,Реальное количество слов в словаре,Процент фрагментации слов,Коэффициент сжатия,Время токенизации на 1000000 символов
BPE Токенизация,8000,2,8000,34.5%,4.22,1.38 секунд
BPE Токенизация,8000,3,8000,34.5%,4.22,1.28 секунд
BPE Токенизация,8000,4,8000,34.5%,4.22,1.39 секунд
BPE Токенизация,8000,5,8000,34.5%,4.22,1.35 секунд
BPE Токенизация,16000,2,16000,23.71%,4.74,0.91 секунд
BPE Токенизация,16000,3,16000,23.71%,4.74,0.94 секунд
BPE Токенизация,16000,4,16000,23.71%,4.74,0.87 секунд
BPE Токенизация,16000,5,16000,23.71%,4.74,0.86 секунд
BPE Токенизация,24000,2,24000,18.55%,5.0,0.9 секунд
BPE Токенизация,24000,3,24000,18.55%,5.0,0.88 секунд
BPE Токенизация,24000,4,22827,18.83%,4.97,0.84 секунд
BPE Токенизация,24000,5,19238,20.99%,4.86,0.92 секунд
BPE Токенизация,32000,2,32000,15.26%,5.17,0.86 секунд
BPE Токенизация,32000,3,28150,16.15%,5.11,0.85 секунд
BPE Токенизация,32000,4,22827,18.83%,4.97,0.95 секунд
BPE Токенизация,32000,5,19238,20.99%,4.86,0.99 секунд
WordPiece Токенизация,8000,2,8000,36.42%,4.1,0.87 секунд
WordPiece Токенизация,8000,3,8000,36.42%,4.1,0.84 секунд
WordPiece Токенизация,8000,4,8000,36.42%,4.1,0.91 секунд
WordPiece Токенизация,8000,5,8000,36.42%,4.1,0.87 секунд
WordPiece Токенизация,16000,2,16000,24.8%,4.64,0.85 секунд
WordPiece Токенизация,16000,3,16000,24.8%,4.64,0.78 секунд
WordPiece Токенизация,16000,4,16000,24.8%,4.64,0.76 секунд
WordPiece Токенизация,16000,5,16000,24.81%,4.64,0.77 секунд
WordPiece Токенизация,24000,2,24000,19.26%,4.93,0.81 секунд
WordPiece Токенизация,24000,3,24000,19.26%,4.93,0.76 секунд
WordPiece Токенизация,24000,4,24000,19.26%,4.93,0.72 секунд
WordPiece Токенизация,24000,5,20683,21.14%,4.82,0.75 секунд
WordPiece Токенизация,32000,2,32000,16.13%,5.11,0.77 секунд
WordPiece Токенизация,32000,3,30211,16.29%,5.08,0.72 секунд
WordPiece Токенизация,32000,4,24574,18.94%,4.94,0.75 секунд
WordPiece Токенизация,32000,5,20685,21.14%,4.82,0.84 секунд
